perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
ag08,300000,0.1,8.0,1.0158,0.02693,0.02069,-0.0248,0.016,1.0
ag08,300000,0.1,9.0,1.0689,0.04086,0.0364,-0.0196,0.015,1.0
ag09,200000,0.1,0.0,0.147,0.0071,0.00207,-0.0282,1.0,1.0
ag09,200000,0.1,1.0,0.2956,0.00731,0.00216,-0.036,0.9551,1.0
ag09,200000,0.1,2.0,0.4095,0.00775,0.00213,-0.0333,0.761,1.0
ag09,200000,0.1,3.0,0.5087,0.00921,0.00257,-0.0292,0.5162,1.0
ag09,200000,0.1,4.0,0.6135,0.01097,0.00363,-0.0277,0.3323,1.0
ag09,200000,0.1,5.0,0.7193,0.01279,0.00514,-0.0267,0.2008,1.0
ag09,200000,0.1,6.0,0.8208,0.01623,0.00811,-0.0254,0.0542,1.0
ag09,200000,0.1,7.0,0.9153,0.0228,0.01513,-0.0222,0.0267,1.0
ag09,200000,0.1,8.0,0.9989,0.03437,0.02828,-0.0182,0.0243,1.0
ag09,250000,0.1,0.0,0.1487,0.00639,0.0019,-0.0284,1.0,1.0
ag09,250000,0.1,1.0,0.3057,0.00646,0.00178,-0.0371,0.9147,1.0
ag09,250000,0.1,2.0,0.4044,0.00721,0.0018,-0.0317,0.7062,1.0
ag09,250000,0.1,3.0,0.5074,0.00866,0.00226,-0.0291,0.4734,1.0
ag09,250000,0.1,4.0,0.6139,0.01022,0.00322,-0.028,0.3068,1.0
ag09,250000,0.1,5.0,0.7207,0.01187,0.00457,-0.0272,0.1827,1.0
ag09,250000,0.1,6.0,0.8234,0.01503,0.00726,-0.0261,0.0436,1.0
ag09,250000,0.1,7.0,0.9162,0.02183,0.01447,-0.023,0.0215,1.0
ag09,250000,0.1,8.0,0.9997,0.03291,0.02709,-0.0191,0.0203,1.0
ag09,250000,0.1,9.0,1.0062,0.05822,0.05482,-0.0171,0.0268,1.0
ag09,300000,0.1,0.0,0.1554,0.00585,0.00175,-0.0297,0.9964,1.0
ag09,300000,0.1,1.0,0.3029,0.00594,0.00152,-0.0357,0.8731,1.0
